satellite_name,satellite_id,sensor_name,sensor_id,prefix,suffix,id,name,description,startdate,enddate,frequency,processlevel,satinorbit,longres,techdoc,crnt_flg,actv
EOS-06,22,OCM,16,E06OCML,.jpg,421,E06OCM_L2C_LAC_AD,Scenewise Aerosol Optical Depth over Land,2024-10-01,2025-08-10,SCENEWISE,L2,C, - ,,0,Active
EOS-06,22,OCM,16,E06OCML,.jpg,423,E06OCM_L2C_LAC_GA,Coloured Dissolved Organic Matter (CDOM) Absorption Coefficient at 412nm (units m-1),2025-05-05,2025-08-10,SCENEWISE,L2,C, - ,,0,Active
EOS-06,22,OCM,16,E06OCML2OC,"*LAC_cdm_v1.0.0.jpg,*LAC_chl_v1.0.0.jpg,*LAC_bp0_v1.0.0.jpg,*LAC_aph_v1.0.0.jpg",425,E06OCM_L2C_LAC_OC,Inherent Optical  Properties,2025-05-15,2025-08-10,SCENEWISE,L2,C, - ,,0,Active
EOS-06,22,OCM,16,E06OCML,.jpg,424,E06OCM_L2C_LAC_PR,Instantaneous_Photosynthetically_Active_Radiation,2025-05-12,2025-08-10,SCENEWISE,L2,C, - ,,0,Active
EOS-06,22,OCM,16,E06OCML,.jpg,429,E06OCM_L2C_LAC_PS,Scenewise Phytoplankton size class,2025-07-02,2025-08-10,SCENEWISE,L2,C, - ,,0,Active
EOS-06,22,OCM,16,E06OCML,.jpg,368,E06OCM_L3_LAC_AD,Daily Aerosol Optical Depth over Land,2023-06-01,2025-08-10,DAILY,L3,C, - ,,0,Active
EOS-06,22,OCM,16,E06OCML,.gif,367,E06OCM_L4_AC,"The Analyzed Chlorophyll products are generated by combining OCM-3 derived chlorophyll observations with coupled physical-biogeochemical model simulation of chlorophyll using particle filter based assimilation technique. The model utilized is MOM5, coupled with biogeochemical model TOPAZ.",2023-06-20,2025-08-08,DAILY,L4,C, - ,,0,Active
EOS-06,22,SCATTEROMETER,4,E06SCTL,.jpg,339,E06SCT_L1B_SIG,EOS-06 Scatterometer L1B Product contains time-ordered Earth-located sigma0s,2024-06-01,2025-08-11,29-30 Orbit/Day,L1B,C,0.25 - 0.25,,0,Active
EOS-06,22,SCATTEROMETER,4,E06SCTL,.jpg,340,E06SCT_L2A_SIG12,EOS-06 Scatterometer L2A Product contains flagged sigma0s in swath grid,2024-06-01,2025-08-11,29-30 Orbit/Day,L2A,C, - ,,0,Active
EOS-06,22,SCATTEROMETER,4,E06SCTL,.jpg,341,E06SCT_L2A_SIG25,EOS-06 Scatterometer L2A Product contains flagged sigma0s in swath grid,2024-06-01,2025-08-11,29-30 Orbit/Day,L2A,C, - ,,0,Active
EOS-06,22,SCATTEROMETER,4,E06SCTL,.jpg,342,E06SCT_L2B_WV12,EOS-06 Scatterometer L2B Product contains flagged wind vectors in swath grid,2024-06-01,2025-08-11,29-30 Orbit/Day,L2B,C, - ,,0,Active
EOS-06,22,SCATTEROMETER,4,E06SCTL,.jpg,343,E06SCT_L2B_WV25,EOS-06 Scatterometer L2B Product contains flagged wind vectors in swath grid,2024-06-01,2025-08-11,29-30 Orbit/Day,L2B,C, - ,,0,Active
EOS-06,22,SCATTEROMETER,4,E06SCTL,.jpg,346,E06SCT_L3_SIG12_HH,EOS-06 Scatterometer L3 Product contains flagged sigma0s in global grid,2024-06-01,2025-06-03,DAILY,L3,C, - ,,0,Active
EOS-06,22,SCATTEROMETER,4,E06SCTL,.jpg,348,E06SCT_L3_SIG12_VV,EOS-06 Scatterometer L3 Product contains flagged sigma0s in global grid,2024-06-01,2025-06-03,DAILY,L3,C, - ,,0,Active
EOS-06,22,SCATTEROMETER,4,E06SCTL,.jpg,347,E06SCT_L3_SIG25_HH,EOS-06 Scatterometer L3 Product contains flagged sigma0s in global grid,2024-06-01,2025-08-11,DAILY,L3,C, - ,,0,Active
EOS-06,22,SCATTEROMETER,4,E06SCTL,.jpg,349,E06SCT_L3_SIG25_VV,EOS-06 Scatterometer L3 Product contains flagged sigma0s in global grid,2024-06-01,2025-08-11,DAILY,L3,C, - ,,0,Active
EOS-06,22,SCATTEROMETER,4,E06SCTL,.jpg,344,E06SCT_L3_WW12,EOS-06 Scatterometer L3 Product contains flagged wind vectors in global grid,2024-06-01,2025-06-03,DAILY,L3,C, - ,,0,Active
EOS-06,22,SCATTEROMETER,4,E06SCTL,.jpg,345,E06SCT_L3_WW25,EOS-06 Scatterometer L3 Product contains flagged wind vectors in global grid,2024-06-01,2025-08-11,DAILY,L3,C, - ,,0,Active
EOS-06,22,SCATTEROMETER,4,E06SCTL,.jpg,350,E06SCT_L4_AWV,Analyzed Winds are computed using optimal interpolation. The wind derived products and fluxes are computed based on COREv3.0 bulk algorithms.,2023-02-09,2025-08-10,DAILY,L4,C, - ,,0,Active
EOS-06,22,SCATTEROMETER,4,E06SCTL,.gif,364,E06SCT_L4_AWV6HOURLY,Analyzed Winds are computed using Particle Filter Technique,2023-02-09,2025-08-11,6 HOURLY,L4,C, - ,,0,Active
EOS-06,22,SCATTEROMETER,4,E06SCTL,.jpg,355,E06SCT_L4_BT_GLB,EOS-06 Scatterometer high resolution land product over Full Globe generated using multiple SCATSAT-1 L1B products using SIR Algorithm,2023-02-09,2025-08-09,DAILY,L4,C,0.02 - 0.02,,0,Active
EOS-06,22,SCATTEROMETER,4,E06SCTL,.jpg,353,E06SCT_L4_BT_IND,"EOS-06 Scatterometer high resolution land product over India generated using multiple SCATSAT-1 L1B products using SIR Algorithm for HHASC, HHDES, HHBTH, VVASC, VVDES, VVBTH",2023-02-09,2025-08-10,DAILY,L4,C,0.02 - 0.02,,0,Active
EOS-06,22,SCATTEROMETER,4,E06SCTL,.jpg,357,E06SCT_L4_BT_NP,EOS-06 Scatterometer high resolution land product over North Pole generated using multiple SCATSAT1 L1B products using SIR Algorithm,2023-02-09,2025-08-10,DAILY,L4,C,0.02 - 0.02,,0,Active
